id,shop_name,display_name,brand_name,original_price,sale_price,image_url,rank
1,kurly,덴마크 유산균이야기 (60일분),덴프스,92000.0,29800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/3bbb89c4-1912-4957-99ce-0ef55c017252.jpeg,1
2,kurly,골드 카무트 브랜드밀효소 (30포),그레인온,35000.0,13900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/dbcc2d7c-d957-4754-aca6-680006e29676.jpg,2
3,kurly,프로틴 단백질 쉐이크 파우치 11종 (45g x 7개입) (택1),플라이밀,35000.0,22500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/f8bef40e-abda-4a8b-a971-90202de06e4a.jpg,3
4,kurly,하동 매실원액 2종 (500ml/1000ml),소다미,8200.0,7500,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/1ee2781d-621b-419a-abfd-43baec45e908.jpg,4
5,kurly,프로틴 단백질 쉐이크 630g 11종 (택1),플라이밀,45900.0,27900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/ac37f6cc-ae9c-4b1c-9c91-97c15d2146e6.jpg,5
6,kurly,락토핏 골드 유산균 (50일분),종근당건강,20900.0,8900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/a910c051-6bf2-4bf7-886d-94d10c3f71c5.jpg,6
7,kurly,마그네슘 400mg 울트라 다이렉트 (20일분),바이오렉트라,22000.0,18700,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/dbdc3c7e-d3bd-462b-aad5-4f76bcad3047.jpg,7
8,kurly,프로틴 단백질 드링크 7종 (6개입) (택1),더단백,15000.0,10900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/e967a17e-ecb5-4b6f-bdc7-5d5e0e1ee940.jpg,8
9,kurly,1일 1레몬 유기농 레몬즙 25g 2종 (택1),홀베리,19900.0,10180,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/e06d82e8-fedd-46b2-93a7-7de59829dcda.jpg,9
10,kurly,슬림 유기농 레몬즙100 50포/14포 2종 (택1),올핏,25000.0,6800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/bd4701ab-ae35-41ba-9bdd-0c20afcc31e9.jpg,10
11,kurly,스페인산 유기농 레몬즙 스틱 100 2종 (택1),메디트리,20000.0,5740,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/ddf1ecc2-2668-4535-9eac-bdadf382f574.jpg,11
12,kurly,잇더핏 프로틴 단백질 쉐이크 파우치 5종,델리스푼,39500.0,25200,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/5d10a210-d269-4ef2-81af-bb47e9711cc2.jpg,12
13,kurly,그린 유기농 컬리케일 100 2종 (택1),Make you Healthy,30000.0,11900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/0bd1e2b8-d546-4749-ac11-33f80670c67d.jpg,13
14,kurly,엑스트라버진 올리브오일 28캡슐 2종 (택1),Make you Healthy,30000.0,13900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/8357d4ad-251b-4f36-8a93-ae8259ed1aa7.jpg,14
15,kurly,잇더핏 단백질쉐이크 대용량 520g (5종),델리스푼,55000.0,34800,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/48152921-d52b-424d-aed2-a86af665876a.jpg,15
16,kurly,프로틴 단백질 버라이어티 기획팩 세트 6개입,더단백,15000.0,10470,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/4980aeb7-7fde-4e68-974a-5c34f1890b34.jpg,16
17,kurly,꼬박꼬밥 9종 (택1),비브리브,35000.0,20900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/77547c6d-3208-47b3-84ff-31efef0799e3.jpg,17
18,kurly,아카시아꿀 (1+등급),올리,,25800,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1583143671390l0.jpg,18
19,kurly,100% NFC 코코넛워터 200mL X 6병,리타,6900.0,6210,https://img-cf.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/shop/data/goods/1654826918243l0.jpg,19
20,kurly,콤부차 30스틱 14종 (택1),티젠,19900.0,10900,https://product-image.kurly.com/hdims/resize/%5E%3E360x%3E468/cropcenter/360x468/quality/85/src/product/image/21959e01-5757-4d05-a400-fcd97a910b03.jpg,20
